date,htfp,gorkana,journalism
2017-03-10,48,165,61
2017-04-07,48,189,70
2017-02-10,71,211,73
2017-05-26,53,201,70
2017-03-17,50,164,65
2017-05-19,49,212,75
2017-05-05,37,186,55
2017-07-07,36,208,55
2017-04-28,43,190,70
2017-02-17,61,211,56
2017-08-04,30,226,66
2017-06-30,40,215,45
2017-02-02,55,0,69
2017-03-24,49,161,62
2017-03-31,48,197,63
2017-08-11,24,212,69
2017-07-28,32,206,63
2017-07-14,37,200,45
2017-06-23,45,203,50
2017-02-03,63,222,69
2017-05-12,47,200,58
2017-04-21,38,187,62
2017-08-18,21,199,71
2017-07-21,31,215,48
2017-02-24,47,193,63
2017-06-16,48,204,55
2017-03-03,50,176,56
2017-06-02,47,195,73
2017-06-09,54,205,66
